Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
35.4,-0.430652
35.45,-0.5937033
35.5,-0.692758
35.55,-0.6728447
35.6,-0.5116951
35.65,-0.304133
35.7,-0.3320165
35.75,-0.2545746
35.8,-0.3381972
35.85,-0.5565118
35.9,-0.7920286
35.95,-0.74607
36,-0.5802249
36.05,-0.3625547
36.1,-0.1567984
36.15,-0.2510942
36.2,-0.5101449
36.25,-0.6708089
36.3,-0.7574891
36.35,-0.8424436
36.4,-0.9500209
36.45,-0.7179872
36.5,-0.5040697
36.55,-0.4620086
36.6,-0.4380607
36.65,-0.4750354
36.7,-0.4231683
36.75,-0.6063816
36.8,-0.493635
36.85,-0.4298852
36.9,-0.3302109
36.95,-0.1485065
37,-0.1534353
37.05,-0.5740418
37.1,-0.7753871
37.15,-0.7041957
37.2,-0.6393397
37.25,-0.5899093
37.3,-0.4562644
37.35,-0.4523399
37.4,-0.5295243
37.45,-0.5580913
37.5,-0.7249482
37.55,-0.9574338
37.6,-1.017205
37.65,-0.8454527
37.7,-0.6929911
37.75,-0.5322878
37.8,-0.3850483
37.85,-0.368878
37.9,-0.4712961
37.95,-0.6825402
38,-0.6714804
38.05,-0.5956271
38.1,-0.7282963
38.15,-0.6449326
38.2,-0.6752315
38.25,-0.3473284
38.3,2.775495E-02
38.35,0.1279166
38.4,-0.3054549
38.45,-0.9337988
38.5,-1.150829
38.55,-1.070442
38.6,-0.7406268
38.65,-0.5246229
38.7,-0.5368722
38.75,-0.5999712
38.8,-0.7192889
38.85,-0.7083009
38.9,-0.8439789
38.95,-1.057816
